armiger,image_url,blazon,artist,date_granted
Akaa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Akaa.vaakuna.svg/75px-Akaa.vaakuna.svg.png,Sakarakoroisesti punaiseen ja hopeaan halkoisella kilvellä hopeinen muuriankkuri.,Kari J. Tähtinen,28. helmikuuta 2007
Alajärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Alaj%C3%A4rvi.vaakuna.svg/75px-Alaj%C3%A4rvi.vaakuna.svg.png,Sinisessä kentässä hopeinen aaltokoroinen tyviö.,Olof Eriksson,16. lokakuuta 1961
Alavieska,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Alavieska.vaakuna.svg/75px-Alavieska.vaakuna.svg.png,"Vihreässä kentässä ristikkäin kaksi hopeaviikatetta, joiden terät kultaa.",Kaj Kajander,25. marraskuuta 1960
Alavus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/T%C3%B6ys%C3%A4.vaakuna.svg/120px-T%C3%B6ys%C3%A4.vaakuna.svg.png,"Sinisessä kentässä nyhäkoroinen kärki, josta nousee kaarisakarainen risti; molemmat hopeaa.",Gustaf von Numers,1. tammikuuta 2013
Asikkala,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Asikkala.vaakuna.svg/75px-Asikkala.vaakuna.svg.png,"Kilpi nelilohkoinen, hopea-punainen; kussakin kentässä vuorovärinen, kultaemiöinen viisilehtinen kukka.",Ahti Hammar,6. maaliskuuta 1952
Askola,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Askola.vaakuna.svg/75px-Askola.vaakuna.svg.png,"Hopeakentässä myllynkivi, josta kasvaa kolme ruusua; kaikki punaista.",Olof Eriksson,14. marraskuuta 1956
Aura,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Aura.vaakuna.svg/75px-Aura.vaakuna.svg.png,"Punaisessa kentässä alainen, aaltokoroinen hirsi, jonka yläpuolella kehäaura; kaikki kultaa.",Ahti Hammar,29. kesäkuuta 1957
Brändö,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Br%C3%A4nd%C3%B6.vaakuna.svg/120px-Br%C3%A4nd%C3%B6.vaakuna.svg.png,"Aaltokoroisen kilven punaisessa yläkentässä lentävä hopeinen lokki, hopeisessa alakentässä kala.",Matts Dreijer,9. huhtikuuta 1952
Eckerö,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Ecker%C3%B6.vaakuna.svg/75px-Ecker%C3%B6.vaakuna.svg.png,"Hopeakentässä punainen rahtivene, jonka raakapurjekin on punainen.",Matts Dreijer,27. helmikuuta 1952
Enonkoski,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Enonkoski.vaakuna.svg/120px-Enonkoski.vaakuna.svg.png,"Mustassa kentässä kaksi hopea-airoa vinoristikkäin, saatteena neljä kulta-apilaa.",Olof Eriksson,23. marraskuuta 1954
Enontekiö,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Enonteki%C3%B6.vaakuna.svg/75px-Enonteki%C3%B6.vaakuna.svg.png,Sinisessä kentässä hopeinen punavaruksinen riekko.,Olof Eriksson,21. huhtikuuta 1961
Espoo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Espoo.vaakuna.svg/120px-Espoo.vaakuna.svg.png,"Sinisessä kentässä hevosenkenkä, sen yläpuolella kruunu, kaikki kultaa.",Kaj Kajander,10. marraskuuta 1955
Eura,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Eura.vaakuna.svg/75px-Eura.vaakuna.svg.png,"Kultakentässä sinisen, sakarakoroisen reunuksen ympäröimänä musta, punavaruksinen karhu pystyasennossa, oikeassa kämmenessään iskuun kohotettu sininen miekka.",Gustaf von Numers,9. elokuuta 1954
Eurajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Luvia.vaakuna.svg/120px-Luvia.vaakuna.svg.png,"Sinisessä kentässä kultainen, kolmimastoinen kuunarilaiva.",Heikki Hermonen,1. tammikuuta 2017
Evijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Evij%C3%A4rvi.svg/75px-Evij%C3%A4rvi.svg.png,"Sinisessä kentässä hopeisen aaltokoroisen tyviön yläpuolella selätysten kaksi tyviöstä nousevaa hopeista kalaa, joiden varukset ovat punaiset.",Olof Eriksson,19. syyskuuta 1963
Finström,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Finstr%C3%B6m.vaakuna.svg/75px-Finstr%C3%B6m.vaakuna.svg.png,"Punaisessa kentässä kultatammi alaisen, aaltokoroisen hopeahirren yläpuolella.",Matts Dreijer,19. joulukuuta 1951
Forssa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Forssan_vaakuna.svg/75px-Forssan_vaakuna.svg.png,Sinisessä kentässä hopeinen vesiratas.,Olof Eriksson,29. elokuuta 1962
Föglö,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/F%C3%B6gl%C3%B6.vaakuna.svg/75px-F%C3%B6gl%C3%B6.vaakuna.svg.png,Sinisessä kentässä kolme yläviistoon lentävää kultaista sorsaa asetettuina 2 + 1.,Matts DreijerjaA.W. Rancken,31. lokakuuta 1951
Geta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Geta.vaakuna.svg/75px-Geta.vaakuna.svg.png,Sinisessä kentässä pystyyn kavahtanut kultapukki.,Matts Dreijer,19. joulukuuta 1951
Haapajärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Haapaj%C3%A4rvi.vaakuna.svg/75px-Haapaj%C3%A4rvi.vaakuna.svg.png,"Sinisessä kentässä palkeittain hopeinen, siivekäs nuoli, jonka kärki ja sulat kultaa.",Gustaf von Numers,10. helmikuuta 1959
Haapavesi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Haapavesi.vaakuna.svg/75px-Haapavesi.vaakuna.svg.png,"Sinisessä kentässä hopeinen haapa, sen alapuolella aaltokoroinen hopeatyviö, jossa sininen, kultanastainen suksisauvan sompa.",A. O. Jääskö,10. lokakuuta 1953
Hailuoto,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Hailuoto.vaakuna.svg/120px-Hailuoto.vaakuna.svg.png,Sinisessä kentässä hopeinen merihankain.,Teuvo Pakkala,19. joulukuuta 1966
Halsua,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Halsua.vaakuna.svg/120px-Halsua.vaakuna.svg.png,"Punaisessa kentässä kaksi vastakkain asetettua pyöreäperäistä hopeakannelta, joitten kielet siniset.",Kaj Kajander,12. maaliskuuta 1969
Hamina,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Hamina.vaakuna.svg/120px-Hamina.vaakuna.svg.png,"Sinisessä kentässä hopeinen, alainen, aaltokoroinen hirsi, jolla ui kultainen vene, sen yläpuolella kultainen, purppuravuorinen kuninkaankruunu.",Gustaf von Numers(vanhan vaakunan pohjalta),3. toukokuuta 1952
Hammarland,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Hammarland.vaakuna.svg/75px-Hammarland.vaakuna.svg.png,Sinisessä kentässä kohti kääntynyt kultainen viikinkilaiva; kultatyviössä punainen kolmoisvuori.,Matts Dreijer,28. joulukuuta 1951
Hankasalmi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hankasalmi.vaakuna.svg/120px-Hankasalmi.vaakuna.svg.png,"Mustassa kentässä aaltokoroinen hopeahirsi, jossa punainen vitsahankain.",Ahti Hammar,3. lokakuuta 1957
Hanko,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Hanko.vaakuna.svg/75px-Hanko.vaakuna.svg.png,"Sini-hopeakatkoisessa kilvessä hopea-punakatkoinen majakka, jonka ovi- ja ikkuna-aukot ovat siniset; tornin yläpuolella kuusisakarainen hopeatähti.",Gustaf von Numers(vanhan vaakunan pohjalta),4. tammikuuta 1960
