armiger,image_url,blazon,artist,date_granted
Ahlainen,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Ahlainen.vaakuna.svg/120px-Ahlainen.vaakuna.svg.png,"Sinisessä kentässä hopeinen, punavaruksinen lentävä lokki.",Ilmari Sysimetsä,11. helmikuuta 1954
Aitolahti,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Aitolahti.vaakuna.svg/75px-Aitolahti.vaakuna.svg.png,"Punaisessa kentässä aaltokoroinen kultahirsi, jossa kolme mustaa, soikeaa, kyljiltään sisäänpäin kaartuvaa rengasta.",Gustaf von Numers,9. kesäkuuta 1965
Alahärmä,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Alah%C3%A4rm%C3%A4.vaakuna.svg/75px-Alah%C3%A4rm%C3%A4.vaakuna.svg.png,"Hopeakentässä painanteisen pilvikoron rajoittama musta tyviö, jonka yläpuolella musta, punavaruksinen karhunpää.",Toivo VuorelaArmas Lähteenkorvan aiheen pohjalta,10. tammikuuta 1958
Alastaro,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alastaro.vaakuna.svg/120px-Alastaro.vaakuna.svg.png,"Mustassa kentässä kaksi paaluittaista tulusrautaa selätysten, niiden kummallakin puolella apilanlehti; kaikki kultaa.",Pentti Vakkamaa,7. tammikuuta 1963
Alatornio,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Alatornio.vaakuna.svg/120px-Alatornio.vaakuna.svg.png,Hopea-sinikatkoisen kilven yläkentässä sininen jännittämätön käsijousi hirsittäin ja alakentässä uiva lohi; kokonaan hopeaa.,Olof Eriksson,7. huhtikuuta 1952
Alaveteli,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Alaveteli.vaakuna.svg/75px-Alaveteli.vaakuna.svg.png,Punaisessa kentässä Mantovan risti kaateisen aurankärjen yläpuolella; molemmat kultaa.,Gustaf von Numers,31. maaliskuuta 1958
Alavus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Alavus.vaakuna.svg/75px-Alavus.vaakuna.svg.png,"Kultakentässä seisova karhu pidellen molemmin käsin päänsä yläpuolella pitkällään olevaa tynnyriä, jonka ylälaidassa olevasta tapinreiästä nousee liekki; kaikki mustaa, paitsi karhun varukset ja tynnyristä nouseva liekki punaiset.",Matti Visanti,12. elokuuta 1952
Angelniemi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Angelniemi.vaakuna.svg/120px-Angelniemi.vaakuna.svg.png,Punaisessa kentässä kultaiset kolmoisankkurit.,Ahti Hammar,16. toukokuuta 1962
Anjala,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Anjala.vaakuna.svg/120px-Anjala.vaakuna.svg.png,Sinisessä kentässä kolme tyvestä nousevaa hopeista valakättä.,Olof Eriksson,29. lokakuuta 1952
Anttola,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Anttola.vaakuna.svg/120px-Anttola.vaakuna.svg.png,"Kultakentässä musta vinoristi, jossa kaksi kultaista suksikeihästä ristikkäin, sommat ylöspäin.",Gustaf von Numers,1. marraskuuta 1962
Artjärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Artj%C3%A4rvi.vaakuna.svg/120px-Artj%C3%A4rvi.vaakuna.svg.png,"Sinisessä kentässä kultainen kuha, jonka alapuolella tyvessä sakarakoroinen, hopeinen muuri.",Olof Eriksson,1. lokakuuta 1956
Askainen,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Askainen.vaakuna.svg/75px-Askainen.vaakuna.svg.png,"Punaisessa kentässä ristikkäin kaksi hopeista marsalkansauvaa, joiden päätehelat kultaa. Sauvojen saatteena neljä kulta-apilaa.",Gustaf von Numers,27. huhtikuuta 1967
Bergö,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Berg%C3%B6.vaakuna.svg/75px-Berg%C3%B6.vaakuna.svg.png,"Punaisessa kentässä kultainen hylje, jonka selkä on kaartunut vasemmalle.",Gustaf von Numers,29. elokuuta 1962
Björköby,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Bj%C3%B6rk%C3%B6by.vaakuna.svg/75px-Bj%C3%B6rk%C3%B6by.vaakuna.svg.png,"Punaisessa kentässä aaltokoroinen tyviö ja postitorvi, josta riippuu kolme koivunlehteä; kaikki kultaa.",Gustaf von Numers,6. heinäkuuta 1959
Bromarv,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Bromarv.vaakuna.svg/75px-Bromarv.vaakuna.svg.png,"Kilpi kulta-punakatkoinen; yläkentässä nouseva punainen saksanhirvi; alakentässä kaksi keksinterää ristissä, niiden yläkulmassa saatteena kranaatti; kaikki kultaa.",Gustaf von Numers,28. kesäkuuta 1950
Dragsfjärd,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Dragsfj%C3%A4rd.vaakuna.svg/75px-Dragsfj%C3%A4rd.vaakuna.svg.png,Sinisessä kentässä kultainen potkuri vinoristikkäin.,Olof Eriksson,16. toukokuuta 1962
Elimäki,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Elim%C3%A4ki.vaakuna.svg/75px-Elim%C3%A4ki.vaakuna.svg.png,"Katkoisen kilven hopeisessa yläkentässä esiin nouseva, musta, kruunupää ratsuhevonen, jonka kruunu, varukset ja valjaat ovat kultaa, punaisessa alakentässä kaksi päivätyökapulaa kaateisina ristissä ja niiden yläkulmassa neliapila; kaikki hopeaa.",Gustaf von Numers,18. tammikuuta 1951
